_id,area_name,attachments,author_id,channel_name,content,is_command,message_id,sent_date
60b6a1e705238b524e8526ed,bienvenida,null,508494041588170782,bienvenida,!validar Camilo 2201323,false,849394101894905888,2021-06-01T16:08:55.510Z
60b6a26b05238b524e8526ee,bienvenida,null,814700055776067625,bienvenida,! acceder Karen 2203029,false,849394658156216370,2021-06-01T16:11:07.679Z
60b6a28b05238b524e8526ef,bienvenida,null,814700055776067625,bienvenida,! validar Karen 2203029,false,849394793687810088,2021-06-01T16:11:39.994Z
60b6a2cb05238b524e8526f0,bienvenida,null,814700055776067625,bienvenida,!validar Karen 2203029,false,849395053800587275,2021-06-01T16:12:43.500Z
60b6a2fb05238b524e8526f1,bienvenida,null,814700055776067625,bienvenida,!acceder inglés,false,849395255844798504,2021-06-01T16:13:31.153Z
60b6a35d05238b524e8526f3,bienvenida,null,712416008521908245,bienvenida,!validar Juan 2200394,false,849395668162445353,2021-06-01T16:15:09.964Z
60b6a37905238b524e8526f4,bienvenida,null,700485906271961090,bienvenida,!validar Santiago 2211344,false,849395787087216691,2021-06-01T16:15:37.542Z
60b6a3b205238b524e8526f5,bienvenida,null,700485906271961090,bienvenida,!validar Lievano 211344,false,849396028112633916,2021-06-01T16:16:34.654Z
60b6a3ce05238b524e8526f6,bienvenida,null,700485906271961090,bienvenida,!validar Santiago 2211344,false,849396145243684934,2021-06-01T16:17:02.741Z
60b6a41b05238b524e8526f7,bienvenida,null,712416008521908245,bienvenida,!acceder ingles-i,false,849396466073075773,2021-06-01T16:18:19.165Z
60b6a44405238b524e8526f8,bienvenida,null,712416008521908245,bienvenida,!acceder inglés-I,false,849396639176851456,2021-06-01T16:19:00.532Z
60b6a45b05238b524e8526f9,bienvenida,null,700485906271961090,bienvenida,!validar Santiago 2211344,false,849396737579286568,2021-06-01T16:19:23.991Z
60b6a48205238b524e8526fa,bienvenida,null,712416008521908245,bienvenida,!acceder inglés,false,849396896308920330,2021-06-01T16:20:02.491Z
60b6aa1505238b524e8526fe,bienvenida,null,561631893930377236,bienvenida,!validar saymond 2210660,false,849402883229483058,2021-06-01T16:43:49.914Z
60b6aa3705238b524e8526ff,bienvenida,null,819628397537001543,bienvenida,si,false,849403029153513482,2021-06-01T16:44:23.443Z
60b6aa4a05238b524e852700,bienvenida,null,561631893930377236,bienvenida,!acceser idiomas,false,849403109309677599,2021-06-01T16:44:42.563Z
60b6aa5d05238b524e852701,bienvenida,null,561631893930377236,bienvenida,!acceder idiomas,false,849403183641264158,2021-06-01T16:45:01.272Z
60b6aa9805238b524e852702,bienvenida,null,819628397537001543,bienvenida,"gracias, qué debo hacer ahora?",false,849403435455086623,2021-06-01T16:46:00.371Z
